iter	Logloss
742	0.2144632585
743	0.2144196477
744	0.2143879316
745	0.214358531
746	0.2142710065
747	0.2142220652
748	0.2141946629
749	0.2141632076
750	0.2141254337
751	0.2140898304
752	0.2140590616
753	0.2140227921
754	0.2139983034
755	0.2139086198
756	0.2138804899
757	0.2138551475
758	0.2138280392
759	0.2138030721
760	0.2137785144
761	0.2137466822
762	0.2137139879
763	0.213653658
764	0.2136216878
765	0.213592639
766	0.2135674715
767	0.2135269363
768	0.2134913871
769	0.2134673515
770	0.2134400655
771	0.2134144517
772	0.2133819832
773	0.21335044
774	0.2133257523
775	0.2132934067
776	0.2132661701
777	0.213231381
778	0.2131794495
779	0.2131516587
780	0.2131201524
781	0.2131008998
782	0.2130836438
783	0.2130508895
784	0.2130074577
785	0.2129642281
786	0.2128683454
787	0.2128474393
788	0.2128181143
789	0.2127762358
790	0.2126998327
791	0.2125628783
792	0.2125332122
793	0.2124993282
794	0.2124696187
795	0.2124378311
796	0.2124109643
797	0.212366137
798	0.2123444937
799	0.2123177431
800	0.2122783855
801	0.2122380307
802	0.2122066171
803	0.212171917
804	0.2121394145
805	0.2121029104
806	0.2120762653
807	0.2120455275
808	0.2120077318
809	0.2119820888
810	0.2119504424
811	0.2119201879
812	0.2118802661
813	0.211851769
814	0.2118215512
815	0.2117851368
816	0.2117577356
817	0.2117315571
818	0.2116872003
819	0.211656063
820	0.2116289963
821	0.2116020408
822	0.2115727568
823	0.2115561041
824	0.2115227778
825	0.2114956615
826	0.2114695284
827	0.2114386434
828	0.2114020932
829	0.2113799582
830	0.211347152
831	0.2113191995
832	0.2112891273
833	0.2112444966
834	0.2112161578
835	0.2111828124
836	0.2111617166
837	0.2111283959
838	0.2110833052
839	0.2110550657
840	0.2110207084
841	0.2109906085
842	0.2109322556
843	0.2109117625
844	0.2108625994
845	0.2108397332
846	0.2108085624
847	0.2107794625
848	0.210755945
849	0.2107356937
850	0.2107162241
851	0.2106811693
852	0.2106560221
853	0.2105946123
854	0.210570751
855	0.2105433655
856	0.210449442
857	0.210422003
858	0.2103956471
859	0.2103686024
860	0.2103401492
861	0.2103201927
862	0.2103017424
863	0.2102673377
864	0.2102443189
865	0.2102214419
866	0.210190514
867	0.2101666915
868	0.2101275978
869	0.2101008903
870	0.210076546
871	0.2100229333
872	0.2099890992
873	0.2099445978
874	0.2099187013
875	0.2098872008
876	0.2098567493
877	0.2098071826
878	0.2097753255
879	0.2096958488
880	0.2096383418
881	0.2096089889
882	0.2095756792
883	0.2095530563
884	0.2095207136
885	0.2094946502
886	0.2094715531
887	0.2094409803
888	0.2094148916
889	0.2093833077
890	0.2093664334
891	0.2093467943
892	0.209322301
893	0.2093002504
894	0.2092652652
895	0.2092384835
896	0.2092150972
897	0.2091947551
898	0.2091695963
899	0.2091391373
900	0.2091132407
901	0.2090802079
902	0.209055911
903	0.2090106683
904	0.208987245
905	0.2089590238
906	0.2089360075
907	0.2089136083
908	0.2088707856
909	0.2088472122
910	0.2088231388
911	0.2087886677
912	0.2087673277
913	0.208737112
914	0.2087172173
915	0.2086986953
916	0.2086782634
917	0.2086553519
918	0.2086293615
919	0.2086011214
920	0.208572558
921	0.208542154
922	0.2084991707
923	0.208465474
924	0.2084383049
925	0.2084149289
926	0.2083453608
927	0.208313531
928	0.2082886683
929	0.2082625491
930	0.2082418635
931	0.208218133
932	0.2081975844
933	0.2081699203
934	0.208144742
935	0.2081193404
936	0.2080921697
937	0.2080589832
938	0.2080368746
939	0.2080121545
940	0.2079802013
941	0.2079522077
942	0.2079128987
943	0.2078864598
944	0.2078607073
945	0.2078346166
946	0.2078107597
947	0.2077644755
948	0.2077414976
949	0.2077223514
950	0.2077039828
951	0.207681805
952	0.2076608205
953	0.207645475
954	0.2076244743
955	0.2075938752
956	0.2075616035
957	0.2075421452
958	0.2075211689
959	0.2074985904
960	0.2074749976
961	0.2074503524
962	0.2074260178
963	0.2073963224
964	0.2073709798
965	0.2073482827
966	0.207325991
967	0.2073065465
968	0.2072785346
969	0.207247011
970	0.2072193089
971	0.2071953054
972	0.2071696821
973	0.2071496782
974	0.207133003
975	0.2071058428
976	0.2070406268
977	0.2070128891
978	0.2069877941
979	0.2069613565
980	0.2069386265
981	0.206909033
982	0.2068832279
983	0.206852749
984	0.2068172581
985	0.2067892597
986	0.2067734561
987	0.2067396858
988	0.2067147817
989	0.2066802665
990	0.2066314348
991	0.2066050491
992	0.206574875
993	0.206554166
994	0.2065245951
995	0.2064965173
996	0.2064697448
997	0.206444751
998	0.2064195231
999	0.2064009754
1000	0.2063219521
1001	0.2062974278
1002	0.2062782947
1003	0.2062395981
1004	0.2062191413
1005	0.2061800358
1006	0.2061545677
1007	0.2061314719
1008	0.2061112634
1009	0.206092927
1010	0.2060679983
1011	0.2060436779
1012	0.2060213415
1013	0.2059619586
1014	0.2059358779
1015	0.205909548
1016	0.2058916642
1017	0.2058164675
1018	0.2057849091
1019	0.2057541565
1020	0.2056967231
1021	0.2056661136
1022	0.205634011
1023	0.2056044583
1024	0.2055757702
1025	0.2055532882
1026	0.2055289086
1027	0.2055073885
1028	0.2054759934
1029	0.2054580966
1030	0.2054327737
1031	0.2054075111
1032	0.2053882622
1033	0.2053552892
1034	0.2053342667
1035	0.2053141871
1036	0.2053001833
1037	0.20527628
1038	0.2052496363
1039	0.2052229141
1040	0.2051970475
1041	0.2051771006
1042	0.205150976
1043	0.2051215935
1044	0.2051008565
1045	0.2050810045
1046	0.2050611042
1047	0.2048709679
1048	0.2048485081
1049	0.2047801684
1050	0.204756669
1051	0.2047098725
1052	0.2046865096
1053	0.2046641749
1054	0.2046413141
1055	0.2046189532
1056	0.204595387
1057	0.2045715014
1058	0.204549574
1059	0.2045275319
1060	0.2045061011
1061	0.2044831513
1062	0.204440171
1063	0.204414899
1064	0.2043433763
1065	0.204325514
1066	0.2043075712
1067	0.2042866084
1068	0.2042583954
1069	0.2042355511
1070	0.2042105447
1071	0.2041912623
1072	0.2041549234
1073	0.2041303066
1074	0.2041042221
1075	0.2040777881
1076	0.2040530686
1077	0.2040327187
1078	0.2040048205
1079	0.2039893726
1080	0.2039622038
1081	0.2039317809
1082	0.2039058907
1083	0.203886502
1084	0.2038218064
1085	0.2037951927
1086	0.2037779068
1087	0.2037526117
1088	0.20372763
1089	0.2037062369
1090	0.2036912846
1091	0.2036734552
1092	0.203659663
1093	0.2036368933
1094	0.2036140712
1095	0.2035929553
1096	0.203569406
1097	0.2035541361
1098	0.2035348702
1099	0.2035135182
1100	0.2034955306
1101	0.2034656776
1102	0.2034394628
1103	0.2034187877
1104	0.2033919434
1105	0.2033579005
1106	0.2033338926
1107	0.203309281
1108	0.2032834213
1109	0.2032564695
1110	0.2032373233
1111	0.2032088358
1112	0.2031904253
1113	0.2031685093
1114	0.203106022
1115	0.2030776024
1116	0.2030571445
1117	0.2030388215
1118	0.2030093914
1119	0.2029852939
1120	0.2029628243
1121	0.2029390554
1122	0.2029194102
1123	0.202897085
1124	0.2028735241
1125	0.202851299
